path,filename,modified_time,time_col,lat_col,lon_col,channel_col,channel_min,channel_max,cable_col,cable_values,n_rows_window,n_matched_ais,csv_time_min,csv_time_max,median_km,mean_km,p90_km,min_km
D:\DAS\_ship_position_estimation_from_das_noais_3d\run_20260618_140657\tables\ais_groundtruth_raw.csv,ais_groundtruth_raw.csv,2026-06-18 17:48:20,time_utc,ais_lat,ais_lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das_noais_3d\run_20260618_140657\tables\ais_groundtruth_raw.csv,ais_groundtruth_raw.csv,2026-06-18 17:48:20,time_utc,ais_lat,ais_lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das_noais_3d\run_20260618_140657\tables\ais_groundtruth_raw.csv,ais_groundtruth_raw.csv,2026-06-18 17:48:20,time_utc,ais_lat,ais_lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das_noais_3d\run_20260618_124039\tables\ais_groundtruth_raw.csv,ais_groundtruth_raw.csv,2026-06-18 16:23:28,time_utc,ais_lat,ais_lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das_noais_3d\run_20260618_124039\tables\ais_groundtruth_raw.csv,ais_groundtruth_raw.csv,2026-06-18 16:23:28,time_utc,ais_lat,ais_lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das_noais_3d\run_20260618_124039\tables\ais_groundtruth_raw.csv,ais_groundtruth_raw.csv,2026-06-18 16:23:28,time_utc,ais_lat,ais_lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das\trajectory_cache\2021-11-01\mmsi_366959080.csv,mmsi_366959080.csv,2026-06-12 10:24:20,time_utc,lat,lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das\trajectory_cache\2021-11-01\mmsi_366959080.csv,mmsi_366959080.csv,2026-06-12 10:24:20,time_utc,lat,lon,,,,,,3,3,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.0,0.0,0.0,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260612_072332\tables\estimate_vs_groundtruth_joined.csv,estimate_vs_groundtruth_joined.csv,2026-06-12 14:30:58,time_utc,ais_lat,ais_lon,est_channel,19489.0,20231.0,est_cable,south,9110,9110,2021-11-01 17:48:00.339000+00:00,2021-11-01 18:12:48.839000+00:00,0.09705836665874396,0.11710299276511724,0.2599049814606376,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260621_104743\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-21 13:49:50,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260621_104743\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-21 13:49:50,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260621_104743\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-21 13:49:50,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260619_114653\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-19 14:48:50,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260619_114653\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-19 14:48:50,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260619_114653\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-19 14:48:50,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260618_165041\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-18 19:52:36,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260618_165041\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-18 19:52:36,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260618_165041\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-18 19:52:36,time_utc,ais_lat,ais_lon,gt_channel,13952.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260618_120347\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-18 15:04:06,time_utc,ais_lat,ais_lon,gt_channel,13949.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260618_120347\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-18 15:04:06,time_utc,ais_lat,ais_lon,gt_channel,13949.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260618_120347\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-18 15:04:06,time_utc,ais_lat,ais_lon,gt_channel,13949.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das_noais\run_20260613_222353\tables\ais_groundtruth_for_evaluation_only.csv,ais_groundtruth_for_evaluation_only.csv,2026-06-14 02:16:48,time_utc,ais_lat,ais_lon,,,,,,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das_noais\run_20260613_222353\tables\ais_groundtruth_for_evaluation_only.csv,ais_groundtruth_for_evaluation_only.csv,2026-06-14 02:16:48,time_utc,ais_lat,ais_lon,,,,,,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das_noais\run_20260613_222353\tables\ais_groundtruth_for_evaluation_only.csv,ais_groundtruth_for_evaluation_only.csv,2026-06-14 02:16:48,time_utc,ais_lat,ais_lon,,,,,,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
D:\DAS\_ship_position_estimation_from_das\run_20260613_172525\tables\groundtruth_ais_projected_to_das.csv,groundtruth_ais_projected_to_das.csv,2026-06-13 20:25:48,time_utc,ais_lat,ais_lon,gt_channel,13949.0,14219.0,gt_cable,south,49,49,2021-11-01 17:48:45+00:00,2021-11-01 18:12:04+00:00,0.09705836665874396,0.11832393552621055,0.25066013318732155,0.0
