relative_path,absolute_path,filename,extension,size_bytes,size_human,modified_time,first_level_folder,second_level_folder,depth
node_modules\@rolldown\binding-win32-x64-msvc\rolldown-binding.win32-x64-msvc.node,C:\Users\Luis\Desktop\das4navy\node_modules\@rolldown\binding-win32-x64-msvc\rolldown-binding.win32-x64-msvc.node,rolldown-binding.win32-x64-msvc.node,.node,23471616,22.38 MB,2026-06-06 16:54:22,node_modules,node_modules\@rolldown,3
node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node,C:\Users\Luis\Desktop\das4navy\node_modules\lightningcss-win32-x64-msvc\lightningcss.win32-x64-msvc.node,lightningcss.win32-x64-msvc.node,.node,9497600,9.06 MB,2026-06-06 16:54:22,node_modules,node_modules\lightningcss-win32-x64-msvc,2
node_modules\eslint-plugin-react-hooks\cjs\eslint-plugin-react-hooks.development.js,C:\Users\Luis\Desktop\das4navy\node_modules\eslint-plugin-react-hooks\cjs\eslint-plugin-react-hooks.development.js,eslint-plugin-react-hooks.development.js,.js,2044204,1.95 MB,2026-06-06 16:54:22,node_modules,node_modules\eslint-plugin-react-hooks,3
node_modules\eslint-plugin-react-hooks\cjs\eslint-plugin-react-hooks.production.js,C:\Users\Luis\Desktop\das4navy\node_modules\eslint-plugin-react-hooks\cjs\eslint-plugin-react-hooks.production.js,eslint-plugin-react-hooks.production.js,.js,2039738,1.95 MB,2026-06-06 16:54:22,node_modules,node_modules\eslint-plugin-react-hooks,3
node_modules\.vite\deps\react-dom_client.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\.vite\deps\react-dom_client.js.map,react-dom_client.js.map,.map,1498117,1.43 MB,2026-06-06 16:54:29,node_modules,node_modules\.vite,3
node_modules\@babel\parser\lib\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\parser\lib\index.js.map,index.js.map,.map,1434020,1.37 MB,2026-06-06 16:54:22,node_modules,node_modules\@babel,4
node_modules\vite\dist\node\chunks\node.js,C:\Users\Luis\Desktop\das4navy\node_modules\vite\dist\node\chunks\node.js,node.js,.js,1274847,1.22 MB,2026-06-06 16:54:22,node_modules,node_modules\vite,5
node_modules\react-dom\cjs\react-dom-profiling.development.js,C:\Users\Luis\Desktop\das4navy\node_modules\react-dom\cjs\react-dom-profiling.development.js,react-dom-profiling.development.js,.js,1082082,1.03 MB,2026-06-06 16:54:22,node_modules,node_modules\react-dom,3
node_modules\react-dom\cjs\react-dom-client.development.js,C:\Users\Luis\Desktop\das4navy\node_modules\react-dom\cjs\react-dom-client.development.js,react-dom-client.development.js,.js,1065698,1.02 MB,2026-06-06 16:54:21,node_modules,node_modules\react-dom,3
node_modules\csstype\index.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\csstype\index.d.ts,index.d.ts,.ts,894969,873.99 KB,2026-06-06 16:54:21,node_modules,node_modules\csstype,2
