extension,n_files,total_size_bytes,mean_size_bytes,max_size_bytes,total_size_human,mean_size_human,max_size_human
.node,2,32969216,16484608.0,23471616,31.44 MB,15.72 MB,22.38 MB
.js,2183,27026489,12380.434722858452,2044204,25.77 MB,12.09 KB,1.95 MB
.map,472,8777418,18596.224576271186,1498117,8.37 MB,18.16 KB,1.43 MB
.ts,624,6056313,9705.629807692309,894969,5.78 MB,9.48 KB,873.99 KB
.cjs,131,1407154,10741.63358778626,140156,1.34 MB,10.49 KB,136.87 KB
.mjs,51,1164098,22825.450980392157,230975,1.11 MB,22.29 KB,225.56 KB
.flow,36,1160529,32236.916666666668,344546,1.11 MB,31.48 KB,336.47 KB
.md,152,991176,6520.894736842105,108460,967.95 KB,6.37 KB,105.92 KB
.json,187,716351,3830.7540106951874,102706,699.56 KB,3.74 KB,100.30 KB
.cts,146,473406,3242.5068493150684,53024,462.31 KB,3.17 KB,51.78 KB
[no_ext],183,369174,2017.344262295082,22134,360.52 KB,1.97 KB,21.62 KB
.mts,50,348389,6967.78,141430,340.22 KB,6.80 KB,138.12 KB
.lock,1,103956,103956.0,103956,101.52 KB,101.52 KB,101.52 KB
.jst,25,50043,2001.72,7725,48.87 KB,1.95 KB,7.54 KB
.svg,6,41941,6990.166666666667,9522,40.96 KB,6.83 KB,9.30 KB
.sample,14,25827,1844.7857142857142,4898,25.22 KB,1.80 KB,4.78 KB
.def,5,16762,3352.4,8282,16.37 KB,3.27 KB,8.09 KB
.txt,4,14999,3749.75,11357,14.65 KB,3.66 KB,11.09 KB
.png,1,13057,13057.0,13057,12.75 KB,12.75 KB,12.75 KB
.ps1,13,10549,811.4615384615385,873,10.30 KB,811.46 B,873.00 B
.jsx,2,10525,5262.5,10284,10.28 KB,5.14 KB,10.04 KB
.go,1,6067,6067.0,6067,5.92 KB,5.92 KB,5.92 KB
.css,3,5477,1825.6666666666667,2169,5.35 KB,1.78 KB,2.12 KB
.php,1,4613,4613.0,4613,4.50 KB,4.50 KB,4.50 KB
.cmd,13,4246,326.61538461538464,342,4.15 KB,326.62 B,342.00 B
.markdown,2,4210,2105.0,2767,4.11 KB,2.06 KB,2.70 KB
.py,1,3773,3773.0,3773,3.68 KB,3.68 KB,3.68 KB
.1,1,2888,2888.0,2888,2.82 KB,2.82 KB,2.82 KB
.yml,11,2664,242.1818181818182,919,2.60 KB,242.18 B,919.00 B
.bsd,2,2462,1231.0,1231,2.40 KB,1.20 KB,1.20 KB
.html,2,714,357.0,415,714.00 B,357.00 B,415.00 B
.bnf,1,619,619.0,619,619.00 B,619.00 B,619.00 B
